sgbid	sgbname	tax_k	tax_p	tax_c	tax_o	tax_f	tax_g	tax_s	terminal_sgb	is_human_pathogen	assigned_pathogen_name	assigned_pathogen_taxid
9926	SGB9926	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_variabilis	t__SGB9926	no	NA	NA
9927	SGB9927	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_maritimus	t__SGB9927	no	NA	NA
9928	SGB9928	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_mediterranei	t__SGB9928	no	NA	NA
9929	SGB9929	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_thalassae	t__SGB9929	no	NA	NA
9930	SGB9930	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_hangzhouensis	t__SGB9930	no	NA	NA
9931	SGB9931	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_sp_C7	t__SGB9931	no	NA	NA
9932	SGB9932	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_xiamenensis	t__SGB9932	no	NA	NA
9933	SGB9933	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_caribbeanicus	t__SGB9933	no	NA	NA
9934	SGB9934	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_sp_qd031	t__SGB9934	no	NA	NA
9935	SGB9935	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Vibrionales	f__Vibrionaceae	g__Vibrio	s__Vibrio_sp_HA2012	t__SGB9935	no	NA	NA
9936	SGB9936	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__Agarivorans	s__Agarivorans_albus	t__SGB9936	no	NA	NA
9937	SGB9937	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacterales_unclassified	g__Plesiomonas	s__Plesiomonas_shigelloides	t__SGB9937	yes	Plesiomonas shigelloides	703
9938	SGB9938	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__Ferrimonas_balearica	t__SGB9938	no	NA	NA
9939	SGB9939	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__Ferrimonas_marina	t__SGB9939	no	NA	NA
9940	SGB9940	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__Ferrimonas_sediminum	t__SGB9940	no	NA	NA
9941	SGB9941	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Zobellella	s__Zobellella_denitrificans	t__SGB9941	no	NA	NA
9942	SGB9942	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Oceanimonas	s__Oceanimonas_sp_GK1	t__SGB9942	no	NA	NA
9943	SGB9943	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_schubertii	t__SGB9943	yes	Aeromonas schubertii	652
9944	SGB9944	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_diversa	t__SGB9944	yes	Aeromonas diversa	502790
9945	SGB9945	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_sobria	t__SGB9945	no	NA	NA
9946	SGB9946	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_allosaccharophila	t__SGB9946	no	NA	NA
9947	SGB9947	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_veronii	t__SGB9947	yes	Aeromonas veronii	654
9948	SGB9948	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_veronii	t__SGB9948	no	NA	NA
9949	SGB9949	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_jandaei	t__SGB9949	yes	Aeromonas jandaei	650
9950	SGB9950	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_enteropelogenes	t__SGB9950	yes	Aeromonas trota	29489
9951	SGB9951	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_salmonicida	t__SGB9951	no	NA	NA
9952	SGB9952	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_bestiarum	t__SGB9952	no	NA	NA
9953	SGB9953	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_dhakensis	t__SGB9953	yes	Aeromonas dhakensis	196024
9954	SGB9954	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_hydrophila	t__SGB9954	yes	Aeromonas hydrophila	644
9955	SGB9955	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_caviae	t__SGB9955	yes	Aeromonas caviae	648
9956	SGB9956	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_media	t__SGB9956	no	NA	NA
9957	SGB9957	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_media	t__SGB9957	yes	Aeromonas media	651
9958	SGB9958	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_lusitana	t__SGB9958	no	NA	NA
9959	SGB9959	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_molluscorum	t__SGB9959	no	NA	NA
9960	SGB9960	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_cavernicola	t__SGB9960	no	NA	NA
9961	SGB9961	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas_sp_RU39B	t__SGB9961	no	NA	NA
9962	SGB9962	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_unclassified	f__Gammaproteobacteria_unclassified	g__Gallaecimonas	s__Gallaecimonas_xiamenensis	t__SGB9962	no	NA	NA
9963	SGB9963	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Photorhabdus	s__Photorhabdus_asymbiotica	t__SGB9963	yes	Photorhabdus asymbiotica	291112
9964	SGB9964	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Photorhabdus	s__Photorhabdus_heterorhabditis	t__SGB9964	no	NA	NA
9965	SGB9965	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Photorhabdus	s__Photorhabdus_temperata	t__SGB9965	no	NA	NA
9966	SGB9966	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Photorhabdus	s__Photorhabdus_temperata	t__SGB9966	no	NA	NA
9967	SGB9967	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Photorhabdus	s__Photorhabdus_luminescens	t__SGB9967	no	NA	NA
9968	SGB9968	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Photorhabdus	s__Photorhabdus_laumondii	t__SGB9968	no	NA	NA
9969	SGB9969	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Photorhabdus	s__Photorhabdus_luminescens	t__SGB9969	no	NA	NA
9970	SGB9970	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_cabanillasii	t__SGB9970	no	NA	NA
9971	SGB9971	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_budapestensis	t__SGB9971	no	NA	NA
9972	SGB9972	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_innexi	t__SGB9972	no	NA	NA
9973	SGB9973	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_stockiae	t__SGB9973	no	NA	NA
9974	SGB9974	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_bovienii	t__SGB9974	no	NA	NA
9975	SGB9975	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_nematophila	t__SGB9975	no	NA	NA
9976	SGB9976	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_mauleonii	t__SGB9976	no	NA	NA
9977	SGB9977	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_szentirmaii	t__SGB9977	no	NA	NA
9978	SGB9978	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_hominickii	t__SGB9978	no	NA	NA
9979	SGB9979	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_khoisanae	t__SGB9979	no	NA	NA
9980	SGB9980	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_miraniensis	t__SGB9980	no	NA	NA
9981	SGB9981	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_beddingii	t__SGB9981	no	NA	NA
9982	SGB9982	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_vietnamensis	t__SGB9982	no	NA	NA
9983	SGB9983	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_japonica	t__SGB9983	no	NA	NA
9984	SGB9984	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_griffiniae	t__SGB9984	no	NA	NA
9985	SGB9985	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_thuongxuanensis	t__SGB9985	no	NA	NA
9986	SGB9986	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_ehlersii	t__SGB9986	no	NA	NA
9987	SGB9987	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_eapokensis	t__SGB9987	no	NA	NA
9988	SGB9988	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_ishibashii	t__SGB9988	no	NA	NA
9989	SGB9989	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_kozodoii	t__SGB9989	no	NA	NA
9990	SGB9990	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_doucetiae	t__SGB9990	no	NA	NA
9991	SGB9991	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Xenorhabdus	s__Xenorhabdus_poinarii	t__SGB9991	no	NA	NA
9992	SGB9992	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_mirabilis	t__SGB9992	yes	Proteus mirabilis	584
9993	SGB9993	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_vulgaris	t__SGB9993	yes	Proteus vulgaris	585
9994	SGB9994	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_vulgaris	t__SGB9994	no	NA	NA
9995	SGB9995	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_penneri	t__SGB9995	yes	Proteus penneri	102862
9996	SGB9996	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_vulgaris	t__SGB9996	no	NA	NA
9997	SGB9997	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_hauseri	t__SGB9997	no	NA	NA
9998	SGB9998	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Shigella	s__Shigella_sp_FC130	t__SGB9998	no	NA	NA
9999	SGB9999	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Proteus	s__Proteus_hauseri	t__SGB9999	no	NA	NA
10000	SGB10000	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Cosenzaea	s__Cosenzaea_myxofaciens	t__SGB10000	no	NA	NA
10001	SGB10001	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Moellerella	s__Moellerella_wisconsensis	t__SGB10001	yes	Moellerella wisconsensis	158849
10002	SGB10002	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_alcalifaciens	t__SGB10002	no	NA	NA
10003	SGB10003	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_alcalifaciens	t__SGB10003	yes	Providencia alcalifaciens	126385
10004	SGB10004	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_rustigianii	t__SGB10004	yes	Providencia rustigianii	158850
10005	SGB10005	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_rettgeri	t__SGB10005	no	NA	NA
10006	SGB10006	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_rettgeri	t__SGB10006	no	NA	NA
10007	SGB10007	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_rettgeri	t__SGB10007	no	NA	NA
10008	SGB10008	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_rettgeri	t__SGB10008	yes	Providencia rettgeri	587
10009	SGB10009	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_heimbachae	t__SGB10009	yes	Providencia heimbachae	333962
10010	SGB10010	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_stuartii	t__SGB10010	yes	Providencia stuartii	588
10011	SGB10011	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_stuartii	t__SGB10011	no	NA	NA
10012	SGB10012	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_burhodogranariea	t__SGB10012	no	NA	NA
10013	SGB10013	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Providencia	s__Providencia_sneebia	t__SGB10013	no	NA	NA
10014	SGB10014	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Sodalis	s__Candidatus_Sodalis_pierantonius	t__SGB10014	no	NA	NA
10015	SGB10015	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Sodalis	s__Sodalis_glossinidius	t__SGB10015	no	NA	NA
10016	SGB10016	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Sodalis	s__Sodalis_like_symbiont_of_Philaenus_spumarius	t__SGB10016	no	NA	NA
10017	SGB10017	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Sodalis	s__Sodalis_like_endosymbiont_of_Proechinophthirus_fluctus	t__SGB10017	no	NA	NA
10018	SGB10018	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Candidatus_Doolittlea	s__Candidatus_Doolittlea_endobia	t__SGB10018	no	NA	NA
10019	SGB10019	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacteriaceae_unclassified	s__secondary_endosymbiont_of_Ctenarytaina_eucalypti	t__SGB10019	no	NA	NA
10020	SGB10020	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Pectobacteriaceae	g__Sodalis	s__Sodalis_endosymbiont_of_Henestaris_halophilus	t__SGB10020	no	NA	NA
10021	SGB10021	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Budviciaceae	g__Pragia	s__Pragia_fontium	t__SGB10021	no	NA	NA
10022	SGB10022	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Budviciaceae	g__Budvicia	s__Budvicia_aquatica	t__SGB10022	no	NA	NA
10023	SGB10023	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Budviciaceae	g__Leminorella	s__Leminorella_grimontii	t__SGB10023	yes	Leminorella grimontii	82981
10024	SGB10024	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Morganella	s__Morganella_psychrotolerans	t__SGB10024	no	NA	NA
10025	SGB10025	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Morganella	s__Morganella_sp_in_Bacteria	t__SGB10025	no	NA	NA
10026	SGB10026	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Morganella	s__Morganella_morganii	t__SGB10026	no	NA	NA
10027	SGB10027	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Morganella	s__Morganella_morganii	t__SGB10027	no	NA	NA
10028	SGB10028	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Morganellaceae	g__Morganella	s__Morganella_morganii	t__SGB10028	yes	Morganella morganii	582
10029	SGB10029	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Mangrovibacter	s__Mangrovibacter_plantisponsor	t__SGB10029	no	NA	NA
10030	SGB10030	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Mangrovibacter	s__Mangrovibacter_phragmitis	t__SGB10030	no	NA	NA
10031	SGB10031	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cedecea	s__Cedecea_neteri	t__SGB10031	no	NA	NA
10032	SGB10032	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cedecea	s__Cedecea_neteri	t__SGB10032	yes	Cedecea neteri	158822
10033	SGB10033	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cedecea	s__Cedecea_sp_NFIX57	t__SGB10033	no	NA	NA
10034	SGB10034	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cedecea	s__Cedecea_neteri	t__SGB10034	no	NA	NA
10035	SGB10035	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_michiganensis	t__SGB10035	no	NA	NA
10036	SGB10036	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Cedecea	s__Cedecea_davisae	t__SGB10036	yes	Cedecea davisae	158484
10037	SGB10037	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Buttiauxella	s__Buttiauxella_gaviniae	t__SGB10037	yes	Buttiauxella gaviniae	82990
10038	SGB10038	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Buttiauxella	s__Buttiauxella_brennerae	t__SGB10038	no	NA	NA
10039	SGB10039	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Buttiauxella	s__Buttiauxella_noackiae	t__SGB10039	no	NA	NA
10040	SGB10040	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Buttiauxella	s__Buttiauxella_agrestis	t__SGB10040	no	NA	NA
10041	SGB10041	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Buttiauxella	s__Buttiauxella_sp	t__SGB10041	no	NA	NA
10043	SGB10043	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Shimwellia	s__Shimwellia_blattae	t__SGB10043	no	NA	NA
10047	SGB10047	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Atlantibacter	s__Atlantibacter_hermannii	t__SGB10047	yes	Escherichia hermannii	565
10048	SGB10048	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__Klebsiella_sp_RIT_PI_d	t__SGB10048	no	NA	NA
10050	SGB10050	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia_cowanii	t__SGB10050	no	NA	NA
10051	SGB10051	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia_radicincitans	t__SGB10051	no	NA	NA
10052	SGB10052	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia_oryziphila	t__SGB10052	no	NA	NA
10053	SGB10053	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia_arachidis	t__SGB10053	no	NA	NA
10054	SGB10054	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia_sacchari	t__SGB10054	no	NA	NA
10055	SGB10055	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia_oryzendophytica	t__SGB10055	no	NA	NA
10056	SGB10056	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter_sp_EA_1	t__SGB10056	no	NA	NA
10057	SGB10057	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacterales_unclassified	g__Phytobacter	s__Phytobacter_diazotrophicus	t__SGB10057	no	NA	NA
10058	SGB10058	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kluyvera	s__Kluyvera_intermedia	t__SGB10058	no	NA	NA
10059	SGB10059	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Kosakonia	s__Kosakonia_sp_S29	t__SGB10059	no	NA	NA
10061	SGB10061	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Shigella	s__Shigella_sonnei	t__SGB10061	no	NA	NA
10062	SGB10062	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli	t__SGB10062	no	NA	NA
10063	SGB10063	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_albertii	t__SGB10063	yes	Escherichia albertii	208962
10064	SGB10064	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_marmotae	t__SGB10064	no	NA	NA
10065	SGB10065	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia_coli	t__SGB10065	no	NA	NA
